drug_id,model1,model2,t_stat,p_value
55.0,con,arc,1.4513229835793382,0.15128791290275306
55.0,ens,esn,-1.0388869904695666,0.3025372975488539
55.0,ens,ar,-0.456337756997647,0.6496013308754944
55.0,ens,arc,-0.2989709607937174,0.7658740077246576
55.0,esn,ar,0.48937609141011906,0.6261503870670372
55.0,esn,arc,0.8497367580006282,0.39845333919913783
55.0,ar,arc,0.33926490258234143,0.7354557229112357
56.0,con,ens,0.2944572021462689,0.7693327235147636
56.0,con,esn,2.240416590287725,0.028435529254559878
56.0,con,ar,1.4108995523215448,0.16297059108377188
56.0,con,arc,0.11203407287506013,0.9111364320062381
56.0,ens,esn,2.5865263928288327,0.011907136046896064
56.0,ens,ar,1.6553092472833044,0.10260970250860911
56.0,ens,arc,-0.25462948691230347,0.7998009989915822
56.0,esn,ar,-1.3852234786491244,0.17064827834346574
56.0,esn,arc,-2.8358812563179807,0.006061224431468342
56.0,ar,arc,-2.0935656154064843,0.0401445414031369
57.0,con,ens,2.634974070693518,0.010381797483647884
57.0,con,esn,1.4137133560931305,0.16194204501343937
57.0,con,ar,1.935003555941595,0.057089821585580326
57.0,con,arc,2.203424219935851,0.030905611158303856
57.0,ens,esn,-0.9751255108916587,0.3329043423379927
57.0,ens,ar,-0.6091189615474305,0.5444459871961835
57.0,ens,arc,-0.30059348631155114,0.7646283584883677
57.0,esn,ar,0.6126895002901847,0.5420957752806453
57.0,esn,arc,0.8220629380383307,0.41387277557183066
57.0,ar,arc,0.49498667614973085,0.6221821045692644
59.0,con,ens,0.6393934883933459,0.5247471587129862
59.0,con,esn,0.20223009825387922,0.8403496576627534
59.0,con,ar,0.41048592761908903,0.6827593028391374
59.0,con,arc,0.5193848710205035,0.6052039885381361
59.0,ens,esn,-0.22634776901505504,0.8216200744753794
59.0,ens,ar,-0.35502507456640375,0.7236859707666039
59.0,ens,arc,-0.16468025109362686,0.8696914973992792
59.0,esn,ar,0.059764199205124505,0.9525213457333745
59.0,esn,arc,0.15240673098455354,0.8793241836918722
59.0,ar,arc,0.21926534160299668,0.8271099721442196
60.0,con,ens,0.5769653157733955,0.5658681389518214
60.0,con,esn,-0.2882090065183873,0.7740634138819054
60.0,con,ar,-0.2622001319274319,0.7939598279859045
60.0,con,arc,0.5600531968119088,0.5772835622576695
60.0,ens,esn,-0.9207682787316579,0.36042654396049756
60.0,ens,ar,-0.8173950638279512,0.41655748536098913
60.0,ens,arc,-0.11464873518290158,0.909061409209853
60.0,esn,ar,-0.014549621885685668,0.9884340953574522
60.0,esn,arc,0.8792788301943428,0.38234679340241295
60.0,ar,arc,0.969841185708334,0.3355627320946447
62.0,con,ens,0.11687824424027579,0.9073010549925327
62.0,con,esn,-0.06292569018362043,0.950010281005436
62.0,con,ar,1.0205286726443483,0.3110949149361778
62.0,con,arc,0.33386139374425183,0.7395115607497179
62.0,ens,esn,-0.14384858673745157,0.8860454898153627
62.0,ens,ar,1.2771357695189058,0.20589798021058314
62.0,ens,arc,0.443299229876775,0.6589565236851931
62.0,esn,ar,1.225284608020119,0.22469515309966348
62.0,esn,arc,0.2988291999253672,0.7659817105827496
62.0,ar,arc,-0.9355769081054918,0.35280178896048653
63.0,con,ens,4.338959306986575,4.940484237733163e-05
63.0,con,esn,-0.7243720520525615,0.4713593443225398
63.0,con,ar,0.4658157319293773,0.6428581799918799
63.0,con,arc,4.214198222122786,7.667565002644652e-05
63.0,ens,esn,-3.778650607599269,0.0003377075407970916
63.0,ens,ar,-1.9398145566322635,0.05661341815896001
63.0,ens,arc,1.676964339217899,0.09820952901435644
63.0,esn,ar,1.0627382460256936,0.2917162032404047
63.0,esn,arc,5.217497050276162,1.913905656433721e-06
63.0,ar,arc,3.319320330187489,0.0014622581653176013
64.0,con,ens,-2.122417980326239,0.037739952041090874
